restaurant,rating,review,sentiment
Zoma Express,5.0,Delicious take out!strongly recommend the owners put themselves on yelp & Apple Maps as it was a little difficult to find the location but I’m so glad I did! The vegan combo was enough for two people and we were very impressed. Definitely coming back!,positive
Zoma Express,5.0,I found a gem in my neighborhood! I really love the vegetarian platter and fish I had. My 9 year old was excited to try Ethiopian and we both found the dishes so satisfying and delicious!,positive
Zoma Express,5.0,"Zoma Exp was the best Ethiopia food I’ve tried in New York City, hands down! After the original location closed I couldn’t find anything of similar quality. I’m so happy they reopened! Really fresh, super high quality ingredients, and so flavorful. Zoma is a 10/10 for me!",positive
Zoma Express,5.0,"As an Ethiopian and someone who have tried Ethiopian food all over the city, I will say that the Ethiopian food in this restaurant is the best. The injera is high quality and doesn’t bloat you. …",positive
Zoma Express,5.0,We are so happy to have found this place! The vegan combo was DELICIOUS and I was happy to learn that the injera is gluten-free. The service was excellent as well. Definitely a new favorite for us and we will be back 🥰 …,positive
Zoma Express,5.0,Amazing place if you want to try good Ethiopian food! The staff was welcoming and very nice. Food was amazing and very good quality. Definitely would recommend checking this place out.,positive
Zoma Express,5.0,Got the vegan combo and really enjoyed it for a spontaneous date night,positive
Zoma Express,5.0,First time trying Ethiopian food and it was amazing! As a first timer I was not sure what to get but the staff was knowledgeable and recommended items based on my taste palate.  I got the Zoma Tibs and the Shiro as my side it was delicious. …,positive
Zoma Express,5.0,I had such a great experience at Zoma Express! The owner was so friendly and the food was delicious! It’s a great cozy little spot with a great vibe. 10/10 recommend!!,positive
Zoma Express,5.0,"I was walking by and looking for a snack and got an order of Lentil Sambusa, which was incredible! The shell was lovely and perfectly flaky which can be hard to do. I can't wait to try the other menu items!",positive
Zoma Express,5.0,We were a group of 7/8 and we were taken care of phenomenally! The manager/owner as well as the chef were amazing ! Great service and the food is outstanding ! Definitely going back!,positive
Zoma Express,5.0,"Really good food (many vegan dishes), clean, polite",positive
Zoma Express,5.0,"Great food at great prices! The dining-in experience is chill and cozy; the take-out travels well. Generous servings, delicious preparation.",positive
Zoma Express,5.0,"So so yummy and great portions, highly recommend!",positive
Zoma Express,5.0,Amazing food. Fitz and his cousin run an incredibly authentic and delicious Ethiopian restaurant with wonderful music and service. The injera is 100% teff so gluten free and also 100% delicious! Highly recommend,positive
Addey Ababa,4.9,"Great place! First time here and first time trying Ethiopian food. Delicious. Plenty of flavor. The ladies here were so lovely, kind and welcoming! Wrapping up my meal with an Ethiopian coffee. Stop by and have lunch here it’s great!",positive
Addey Ababa,4.9,"My wife, Marty, has been here before and did me the great favor of taking me here today, in my last hours before I turn over another year, birthday eve. …",positive
Addey Ababa,4.9,"Food was so tasty, and the awaze (lamb) tibbs was our favorite. The coffee was great and the baklava was delicious. The best part was the friendly staff and the welcoming atmosphere. We genuinely felt at home.",positive
Addey Ababa,4.9,"The staff at this Ethiopian restaurant create a warm and welcoming experience, adding to the great quality food being served. 🇪🇹
In my visit to NYC I was looking forward to dining at an Ethiopian restaurant. I …",positive
Addey Ababa,4.9,"The most delicious and authentic Ethiopian food you can find outside of Addis!! The owners are kind, welcoming and so hospitable. 10/10 food and service! Can’t wait to go back.",positive
Addey Ababa,4.9,"They have a vegetarian section on their menu with 5+ options. Tried the vegetarian combo. It was tasty, though the misir wot wasn't as thick and spicy as I had at another Ethiopian restaurant. The spicy tea was nice.",positive
Addey Ababa,4.9,The ambience is very casual but the service is superb; better than most fancy restaurants. The server was very attentive and seemed to read our mind before we asked. …,positive
Addey Ababa,4.9,"We had such a great meal here this afternoon! We ordered two of the vegetarian combo plates. Every item on the platter was seasoned perfectly, and our server Martha kept the injera coming. Our favorite side was the cabbage. They don’t have …",positive
Addey Ababa,4.9,What a spectacular find! This lovely Ethiopian restaurant has a welcoming ambiance and delicious food cooked by sisters with complementary talents — one specializes in the vegetarian dishes and one in the meat dishes. Both are perfectly spiced and served with the care that such beautifully crafted food deserves.,positive
Addey Ababa,4.9,First time trying Ethiopian food and the food here is absolutely delicious! Highly impressed by both the exquisite cuisine and the impeccable service.,positive
Addey Ababa,4.9,"A neighborhood gem - family run and always delicious! Highly recommend the vegetarian combo, awaze (lamb) tibs, doro wat, tomato salad, and baklava. The hot tea is excellent as well.",positive
Addey Ababa,4.9,"One of the best injera I've ever had! Everything was delicious, service was excellent and a very affordable price with a sweet ambience inside too! Highly recommend~",positive
Addey Ababa,4.9,"My walk through the area revealed this charming little spot. The staff adapted to our dietary needs and delivered quality service. Their dishes present flavors without comparison elsewhere. They serve big portions, charge fair prices, and make delicious meals. Enjoy and good luck!",positive
Addey Ababa,4.9,"This place is an absolute gem! Wow.

I've admittedly not had much Ethiopian food in my lifetime, but these kind …",positive
Addey Ababa,4.9,I can't help but smile when I think about eating here again. The interior feels high-class yet comfortable. I brought reinforcements for this meal. Capable workers who gave excellent suggestions and kept my family smiling the entire time. Nice performance! I'll be back!,positive
Addey Ababa,4.9,"An all around great experience. The food was great, and customer service was refreshing. A nice location easy to access 1 block away from the train station.
I had the veggie platter, tea and tiramisu. Ambiance is welcoming. It seems the …",positive
Addey Ababa,4.9,"As a native Ethiopian, you’re not going to find better food anywhere in nyc than here. Trust me. Try the doro wot with a side of shiro wot and a Habesha beer. Tastes like home and smells like home too!",positive
Addey Ababa,4.9,"I haven't been here yet, but I'm very excited it's opening up!

UPDATE: I've been here a few times now, and have not been disappointed! The food …",negative
Addey Ababa,4.9,"Charming, attentive, and delicious.  Those are the words that best describe this establishment.  The food tasted like it was made by someone that had invited me over for dinner and made just for the occasion.  I will be returning to this restaurant.",positive
Addey Ababa,4.9,"Delicious food, people working there are really nice, great vibe.

Highlight from the drinks menu: Ethiopian beer (which is delicious), and honey wine.",positive
Addey Ababa,4.9,"I now measure good food by what they serve here. The moment we entered, every employee showed exceptional kindness. The restaurant accommodates both casual diners and single eaters. They pride themselves on freshness above all. Pleasant employees, excellent meals, and a charming area.",positive
Addey Ababa,4.9,"Amazing experience, start to finish. Who I can only assume are the owners are incredibly warm and friendly - it felt like coming into someone's home for supper! The food is delicious, and we were given time to enjoy our meal and socialize …",positive
Addey Ababa,4.9,"As an Ethiopian, I can confidently say this is one of the most authentic and heartwarming dining experiences I’ve had in New York. The food took me right back home—perfectly spiced, rich in flavor, and beautifully presented. Every dish …",positive
Addey Ababa,4.9,First time here and it was highly recommended by others in the community. We didn’t know what to expect so went off the servers recommendation. We had the tomato salad to start. I DON’T LIKE RAW TOMATOES. I gobbled it up. We also shared the Awaze Tibs to share. So spicy so delicious. 10/10 no notes!,positive
Addey Ababa,4.9,"The staff is very polite and attentive. They always made sure we had injera. The food was hearty, delicious and very filling.",positive
Addey Ababa,4.9,"I had a great time at Addey Ababa. I had never tried Ethiopian food, is to eat with the hands, they have wipes to clean your hands. I like the food and the experience very much. …",positive
Addey Ababa,4.9,"Restaurant was a far drive from where I live but it was WORTH IT. Small but cozy. Got the vegetarian combo and, while I don’t usually like green beans or cabbage, those were my favorites!! The split peas and lentils were also delicious. Our …",positive
Addey Ababa,4.9,The culinary skill on display here is remarkable. The place has charm that's enhanced by warm staff. The food was tasty and waiters were attentive. The workers maintain positive attitudes consistently. This spot is exceptional and will see me frequently.,positive
Addey Ababa,4.9,My thoughts on this restaurant are belated. Their menu items feature impressive flavors. The restaurant exceeds typical expectations. Staff here work quickly while maintaining a positive attitude. I shared my approval of this spot.,positive
Addey Ababa,4.9,A wholesome Ethopian spot in Washngton Heights just what the neighbourhood needed. I ordered a Misir Wot & Awaze Tibs with extra Injera. The food was absolutely delicious and so fulfilling. It didn't have the restaurant feel but a home …,positive
Addey Ababa,4.9,This restaurant is amazing. The experience is just as memorable as the food (which is out of this world good) …,positive
Addey Ababa,4.9,"Such delicious food. Fresh, flavorful ingredients. Staff were helpful with menu suggestions and very friendly. Will definitely be back!",positive
Addey Ababa,4.9,"Delicious and a lovely addition to the neighborhood! There's a gluten-free option for the injera and you can order it off menu, which is really convenient (compared to some other restaurants I've been to where you need to call ahead to request gf injera). Will be back.",positive
Addey Ababa,4.9,We had a lovely Friday date night at this new Ethiopian hot spot. Classic Ethiopian jazz washes over you as you enter a new refurbished restaurant space. Traditional hospitality abounds as you’re greeted and hosted like family. The doro …,positive
Addey Ababa,4.9,"Tonight, I had the most fantastic meal I have had in months.
To sum up our evening at Addey Ababa, I have three words: Warmth, Flavor, and Shock. …",positive
Addey Ababa,4.9,Very accommodating service and the tasty food and Ethiopian beer,positive
Addey Ababa,4.9,Delicious food and a friendly atmosphere. We loved how bright and airy the space was. We got the tomato salad & veggie combo. Highly recommend!,positive
Addey Ababa,4.9,"This spot is a gem! Absolutely delicious food & lovely people. Their spiced tea is my new obsession, not gonna lie.",positive
Addey Ababa,4.9,"Lovely new spot in the neighborhood. So great to have delicious Ethiopian food in the Heights! We shared the vegetarian combo, the chickpea stew and chicken tibs. Fresh and flavorful! Very friendly service. We’ll be back!",positive
Addey Ababa,4.9,AMAZING!! I had the ketanga and various dishes including doro wat and shiro and it was all wonderful! the servers and chef are all angels too! highley recommend,positive
Cafe Massawa,4.9,"Simply outstanding food and service. The coffee and teas were excellent. The food was amazing. The deserts were outstanding too. The service was just heartwarming. Great value for your money to! The bean appetizer, chicken drumsticks and beef dishes were to die for. The carrot cake and rum soaked cake were divine!",positive
Cafe Massawa,4.9,"Polite service, delicious food this was my first time having this dish and it was amazing! I would definitely come again. Just a bit pricey but worth it for a fresh meal that has flavor. Also the honey wine is the best wine I have had!!",positive
Cafe Massawa,4.9,"Best experience having traditional Ethiopian food here everything was delicious. The service was great and I can’t wait to come back again. We got the injera and beef tibs + berber wings, they were to die for!",positive
Cafe Massawa,4.9,"The owner is a very welcoming, polite, and hard working guy. He made sure our experience there was nothing short of exceptional. The injera was amazing! They have vegan options, as well. In photo: Beef Tibs, Shiro, and Alitcha",positive
Cafe Massawa,4.9,Literally the best place ever to try ethiopian food !!! Me ans my friends went to try together for the first time and we were soooooo happy that we did. It left a wonderful taste in our mouths and almost cleared all the plate (I would've …,positive
Cafe Massawa,4.9,Great food - really nicely spiced. Friendly staff. Quiet and darkly lit; good spot for a date night.,positive
Cafe Massawa,4.9,Came for lunch and got the zigni with timtimo and green salad. Outstanding. Service was faster than I am accustomed to in an Eritrean restaurant and I really appreciated that! Reasonably priced for how much food you get. I will definitely …,positive
Cafe Massawa,4.9,"My first time trying this cuisine ! So good! Food is amazing, same as place.",positive
Cafe Massawa,4.9,"I am writing this review from a place of immense gratitude. When our car caught on fire, Abraham welcomed us out of the cold and into his warm, cozy restaurant, treating us as if we were family. It is truly heartwarming to know that there …",negative
Cafe Massawa,4.9,"The food was delicious, the service was great, and the atmosphere is so welcoming and cool. …",positive
Cafe Massawa,4.9,"Got the quesadilla and a meat + 2 vegan entree combination. You can’t go wrong with any of the dishes, honestly. Hearty, savory stews served with light, tangy injera!! And we got a rum raisin cake with coconut ice cream for dessert, naturally.",positive
Cafe Massawa,4.9,"Great service and food, an exceptionally filling meal that’s perfect for sharing. As far as Ethiopian goes, you don’t get a ton of toppings, but you certainly won’t leave hungry. The guys that work here are great, and the neighborhood is lucky to have this spot.",positive
Cafe Massawa,4.9,"I ordered the vegan sampler and it was delicious! Every single one was very flavorful and loved the injera. The server recommend the ginger tea (forgot to take a photo), and I have to say it's the best tasting one I've had in a while! The …",positive
Cafe Massawa,4.9,Food was below average.  All the flavors were bland and everything we ordered tasted the same.  Injera was particularly soft and they had some nice red wines which is about as good as it got.   Service was fine but not overly attentive.,positive
Cafe Massawa,4.9,"Amazing spot in Harlem!
The food here is absolutely incredible—so fresh, flavorful, and made with care. Every dish tastes authentic, and you can really tell the ingredients are high …",positive
Cafe Massawa,4.9,Great service. Cute small place. The food is really good. The run soaked cake is strong! Beware about ordering it for a work lunch.,positive
Cafe Massawa,4.9,"Blew me away. Fantastic food and great service. We stopped by for brunch. You could taste the love in the food. We started with the chicken sambusas & ful toast (not pictured here - we devoured it before remembering to take pics lol), …",positive
Cafe Massawa,4.9,There are not enough adjectives to describe the wonder of this food! I had an out of body experience...yep it was that amazing! Definitely a returning destination for me!! Service was steller.  Stopped in for a quick snack before a walk and returned for dinner! 5 stars are not enough!,positive
Cafe Massawa,4.9,A neighborhood gem! The food is excellent every time and the staff are such sweethearts. The restaurant itself is so cute and cozy. One of my favorite spots in the area!,positive
Cafe Massawa,4.9,Had a great lunch here today. It’s a casual spot but it has nice big windows with lots of light. …,positive
Cafe Massawa,4.9,Fantastic place. The ful is beautiful and the sharing vegan plate has all the Eritrean curries you want and lovely injera. Cool vibe and nice tea. Will be back!,positive
Cafe Massawa,4.9,My favorite restaurant in the area— the food is fantastic and the atmosphere is genuine and lovely. Abraham is wonderful.,positive
Cafe Massawa,4.9,"What an incredible find! Food was delicious. Portions were huge. Tej (honey wine) was perfect. Ambience was great. And, best of all, Abraham was amazing - friendly and attentive.",positive
Cafe Massawa,4.9,"I found this spot through a fortunate wrong turn. The warm setting keeps prices fair. The food maintains excellent standards. Cooperative, unpretentious, and sincere. I feel fortunate this spot is close by.",positive
Cafe Massawa,4.9,A beautiful new cafe space from the family-run Massawa restaurant. Very friendly folks and the food was fantastic!! The slow-cooked lamb (tsebhi beghe) and two veggie sides were mouthwateringly good. I tried the Africano (a play on an …,positive
Cafe Massawa,4.9,Exceptional food and excellent atmosphere! Abraham offers the best service! Best Ethiopian food in the city!,positive
Cafe Massawa,4.9,I honestly wish I could give this place 100 stars. The food was amazing very filling does not make you feel bloated at all. The hospitality was amazing. Abraham went about and beyond explaining to me the different dishes that they serve. He …,positive
Cafe Massawa,4.9,"This is straight up one of my favorite restaurants in NYC. Whenever I eat there I think about it for weeks afterward. The intimacy inherent in Eritrean cuisine means it is best enjoyed with a party of friends or loved ones, but even if you …",positive
Cafe Massawa,4.9,Great service and hospitality. I’ve eaten at a lot of Ethiopian spots and this was top notch and authentic. Portions were great. Wings also were very good.,positive
Cafe Massawa,4.9,Best coffee in the area. Try their Africano - it’s really good. The environment and the staff are very kind and friendly. I love this place.,positive
